district,street,location,lat,lon,method
罗湖区,清水河街道,红岗社区,22.554718,114.103466,tianditu
罗湖区,清水河街道,泥岗路,22.572385,114.104561,tianditu
罗湖区,清水河街道,布心路,22.57856,114.13589,tianditu
罗湖区,清水河街道,宝清路,22.689265,114.276561,tianditu
罗湖区,清水河街道,泥岗东路红岭立交,22.570078,114.099104,tianditu
罗湖区,清水河街道,金湖路,22.5729,114.0951,tianditu
罗湖区,笋岗街道,泥岗路洪湖桥,22.576221,114.109657,tianditu
罗湖区,笋岗街道,泥岗路红岭立交段,22.570078,114.099104,tianditu
罗湖区,笋岗街道,泥岗路雅士居路段,22.576438,114.108172,tianditu
罗湖区,翠竹街道,水贝一路,22.5716,114.12154,tianditu
罗湖区,翠竹街道,文锦北田贝路段,22.566461,114.11678,tianditu
罗湖区,东晓街道,布吉路丰湖大厦对面桥洞,22.57845,114.11505,tianditu
罗湖区,东晓街道,泥岗路铁路桥,22.574975,114.110746,tianditu
罗湖区,东晓街道,洪湖立交段,22.576591,114.116742,tianditu
罗湖区,南湖街道,文锦南路,22.54471,114.126245,tianditu
罗湖区,南湖街道,沿河南路等部分区域,22.53714,114.11908,tianditu
罗湖区,东湖街道,爱国布心路,22.57596,114.13798,tianditu
罗湖区,东湖街道,东湖公园门口,22.56339,114.1317,tianditu
罗湖区,东湖街道,沙湾公路大望桥路段,22.611111,114.158926,tianditu
盐田区,沙头角街道,东和社区街心公园,22.5545,114.22791,tianditu
盐田区,沙头角街道,诗宁里别墅区,22.55224,114.22847,tianditu
盐田区,沙头角街道,实验幼儿园,22.564148,114.234074,tianditu
盐田区,沙头角街道,金融路口,22.61234,114.29964,tianditu
盐田区,海山街道,海景二路,22.55667,114.23289,tianditu
盐田区,海山街道,海山街道深盐路与海山路交汇处,22.556468,114.233981,tianditu
盐田区,海山街道,马庙街,22.556713,114.232576,tianditu
盐田区,盐田街道,沙头村易发生较深积水,22.732611,113.803302,tianditu
盐田区,梅沙街道,梅沙医院下高速路口,22.60415,114.30016,tianditu
南山区,沙河街道,沙河西白芒村路口,22.625857,113.93773,tianditu
南山区,沙河街道,滨海大道,22.52577,113.93232,tianditu
南山区,沙河街道,沙河东路,22.560597,113.960544,tianditu
南山区,西丽街道,南坪西行转梅观公路,22.550895,113.985545,tianditu
南山区,西丽街道,南坪路段,22.593521,114.037577,tianditu
南山区,西丽街道,沙河西宝深路段,22.604708,113.933744,tianditu
南山区,粤海街道,高新区创维大厦,22.54218,113.94659,tianditu
南山区,粤海街道,科苑路与科发路,22.54752,113.94107,tianditu
南山区,粤海街道,月亮湾大道(路口),22.525216,113.903337,tianditu
南山区,南山街道,月亮湾大道,22.525216,113.903337,tianditu
南山区,南山街道,星海名城,22.54338,113.90747,tianditu
南山区,南山街道,蛇口海关,22.500668,113.913767,tianditu
南山区,桃源街道,方大城,22.55956,113.96761,tianditu
南山区,桃源街道,西丽龙珠路,22.577002,113.952153,tianditu
南山区,招商街道,月亮湾大道沿江立交桥底南往北方向,22.514597,113.900691,tianditu
南山区,南头街道,梅观南行南坪立交桥底,22.591986,114.047539,tianditu
南山区,南头街道,南山大道及学府路,22.532207,113.917897,tianditu
南山区,南头街道,关口路,22.5409,113.91422,tianditu
南山区,南头街道,南头关出关方向,22.552638,113.902024,tianditu
宝安区,新安街道,41区安乐市场,22.5607,113.89518,tianditu
宝安区,新安街道,宝民路,22.573181,113.889059,tianditu
宝安区,新安街道,创业立交桥,22.566683,113.892781,tianditu
宝安区,福永街道,福永大道（107国道立交桥底）路口,22.698214,113.828117,tianditu
宝安区,福永街道,福永大道广深高速桥底路段,22.692859,113.836483,tianditu
宝安区,福永街道,福围社区福围市场片区（泵站）,22.644624,113.821984,tianditu
宝安区,福永街道,西环路与福新路交汇处,22.761045,113.79813,tianditu
宝安区,新桥街道,沙井高速桥底路面,22.707587,113.833869,tianditu
宝安区,沙井街道,民主大道,22.73779,113.79307,tianditu
宝安区,石岩街道,水田市场,22.68563,113.955546,tianditu
宝安区,石岩街道,石龙大道,22.70045,113.96438,tianditu
宝安区,石岩街道,宝石路牛城村路段,22.614454,113.915433,tianditu
龙岗区,龙岗街道,水岸新都,22.752,114.2749,tianditu
龙岗区,龙岗街道,第六工业区,22.736691,114.322874,tianditu
龙岗区,龙岗街道,双龙立交桥底,22.73098,114.27231,tianditu
龙岗区,龙岗街道,鹏达路刘屋段,22.717432,114.258277,tianditu
龙岗区,坂田街道,五和大道四季花城段,22.627333,114.053364,tianditu
龙岗区,坂田街道,岗头路口,22.62769,114.05602,tianditu
龙岗区,坂田街道,雪岗南路上雪市场,22.6491,114.07721,tianditu
龙岗区,坂田街道,雪岗南路（新亚洲百货）,22.646513,114.192006,tianditu
龙岗区,坂田街道,雪岗南路象角塘,22.657192,114.068635,tianditu
龙岗区,坂田街道,五和地铁站,22.63039,114.05677,tianditu
龙岗区,布吉街道,布吉中学,22.6106,114.11054,tianditu
龙岗区,布吉街道,西环路口,22.62769,114.05602,tianditu
龙岗区,布吉街道,湖南立交穿孔桥,22.600046,114.1141,tianditu
龙岗区,布吉街道,三联路段,22.628689,114.104428,tianditu
龙岗区,布吉街道,甘坑老屋村,22.654874,114.100917,tianditu
龙岗区,布吉街道,塘径新村,22.61978,114.10858,tianditu
龙岗区,布吉街道,布李路,22.63301,114.12715,tianditu
龙岗区,布吉街道,中心路,22.61628,114.05778,tianditu
龙岗区,园山街道,惠盐中路与大康路交汇处,22.648468,114.21041,tianditu
龙岗区,园山街道,坳新路口,22.672931,114.207642,tianditu
龙岗区,园山街道,信义汽车城,22.6704,114.218126,tianditu
龙岗区,横岗街道,新联嶂背路及嶂背一村,22.68801,114.23603,tianditu
龙岗区,横岗街道,橫坪公路连接线与横坪公路交汇处,22.662391,114.242613,tianditu
龙岗区,横岗街道,四联社区富利时路,22.654,114.1908,tianditu
龙岗区,宝龙街道,同心路与岗德路交汇处,22.722144,114.306223,tianditu
龙岗区,宝龙街道,大坑路与夏深铁路以下南路段,22.69203,114.071215,tianditu
龙岗区,宝龙街道,宝荷路与积谷田路交汇处,22.694255,114.268842,tianditu
龙岗区,宝龙街道,岗德路与阳新路交汇处,22.717346,114.310364,tianditu
龙岗区,吉华街道,秀峰路口,22.62769,114.05602,tianditu
龙岗区,吉华街道,吉华路,22.63679,114.05748,tianditu
龙岗区,吉华街道,三联富民城,22.67442,114.02913,tianditu
龙岗区,吉华街道,布龙立交段,22.614464,114.128861,tianditu
龙岗区,吉华街道,秀峰工业城,22.6502,114.09975,tianditu
龙岗区,龙城街道,天安数码城,22.53501,114.02698,tianditu
龙岗区,龙城街道,英才学校,22.724466,114.208139,tianditu
龙岗区,龙城街道,如意路与盐龙大道辅道交汇处,22.708607,114.200842,tianditu
龙岗区,龙城街道,龙翔大道与吉祥路交汇处,22.716343,114.230824,tianditu
龙岗区,龙城街道,建设路与龙翔大道交汇处,22.701516,114.221547,tianditu
龙岗区,南湾街道,南和路与布沙路交汇处,22.60973,114.1466,tianditu
龙岗区,南湾街道,丹沙路沙湾桥头,22.611305,114.158368,tianditu
龙岗区,南湾街道,丹平路丹竹头汽车站,22.628957,114.154871,tianditu
龙岗区,南湾街道,下李郎社区白李路旗丰科技园段,22.6414,114.13876,tianditu
龙岗区,南湾街道,龙山工业区龙山路段,22.60221,114.13353,tianditu
龙岗区,平湖街道,老围村,22.684848,114.197822,tianditu
龙岗区,平湖街道,新木村,22.672898,114.122709,tianditu
龙岗区,平湖街道,平吉大道与辅岐路交界处,22.601736,114.116804,tianditu
龙岗区,平湖街道,新木路与良白路交汇处,22.666875,114.141027,tianditu
龙岗区,平湖街道,丹平路跨东深公路桥底,22.67746,114.21935,tianditu
龙岗区,平湖街道,平安大道与丹平路交汇处,22.67673,114.13438,tianditu
龙岗区,平湖街道,凤岐路与辅岐路交汇处,22.694049,114.110736,tianditu
龙岗区,坪地街道,人民南路与英材路交汇处,22.767305,114.315423,tianditu
龙岗区,坪地街道,四方埔桥洞,22.76311,114.31705,tianditu
龙岗区,坪地街道,坪地惠盐高速公路石碧西,22.794918,114.326436,tianditu
龙岗区,坪地街道,吉坑,22.791909,114.329789,tianditu
龙岗区,坪地街道,鹤坑村道三个涵洞,22.788158,114.328708,tianditu
龙岗区,坪地街道,怡心社区西湖苑小区,22.772505,114.296281,tianditu
龙岗区,坪地街道,龙岗大道长山等路段,22.805899,114.324589,tianditu
龙华区,龙华街道,龙观路东环二路交汇处,22.667857,114.020718,tianditu
龙华区,观澜街道,君子布,22.718362,114.0964,tianditu
龙华区,观澜街道,梅观高速/观澜大道(路口),22.762618,114.029175,tianditu
龙华区,观澜街道,观澜升华二街,22.72157,114.05036,tianditu
龙华区,福城街道,桔岭老村,22.734292,114.019755,tianditu
坪山区,坪山街道,鹤源路,22.68594,114.34655,tianditu
坪山区,坪山街道,金碧路沙湖工业区入口,22.68137,114.30682,tianditu
坪山区,坪山街道,坪山街道沿河路,22.68602,114.32333,tianditu
坪山区,坪山街道,行政二路与行政九路交汇处,22.71033,114.33455,tianditu
坪山区,坪山街道,坪山大道与行政八路交汇处,22.704187,114.344014,tianditu
坪山区,坪山街道,坪山大道与金牛路口,22.680807,114.325172,tianditu
坪山区,坪山街道,万科金域缇香,22.70818,114.33511,tianditu
坪山区,龙田街道,绿荫北路（菜地入口）,22.711208,114.370912,tianditu
坪山区,龙田街道,盘龙路（绿梓大道桥下至吉康路）,22.61173,114.04035,tianditu
坪山区,碧岭街道,汤坑二路,22.6679,114.3059,tianditu
坪山区,碧岭街道,碧岭社区新沙路100号,22.66817,114.27478,tianditu
坪山区,碧岭街道,碧岭社区沙坑二路32号,22.66669,114.28423,tianditu
坪山区,碧岭街道,沙湖社区新龙路湖清路口,22.681535,114.315134,tianditu
坪山区,碧岭街道,沙湖东深路,22.682324,114.314361,tianditu
坪山区,碧岭街道,碧岭市场,22.679044,114.300812,tianditu
坪山区,石井街道,矮岭村,22.767946,114.329491,tianditu
坪山区,石井街道,石井社区福民路草埔路段2号,22.699851,114.371629,tianditu
坪山区,石井街道,石井社区太阳村大门路道,22.686241,114.380419,tianditu
坪山区,石井街道,石井社区金田路61号,22.69413,114.3753,tianditu
坪山区,石井街道,横塘村二巷五号门前,22.537929,114.025024,tianditu
坪山区,坑梓街道,吉康路与兰景路交汇处,22.73791,114.36789,tianditu
坪山区,坑梓街道,同富裕工业区,22.635931,114.424892,tianditu
坪山区,坑梓街道,锦绣东路和荣田路口,22.74784,114.41069,tianditu
坪山区,坑梓街道,龙田社区大窝村,22.761433,114.354846,tianditu
坪山区,坑梓街道,秀沙路,22.76972,114.39844,tianditu
坪山区,马峦街道,坪环路与富林路口,22.68045,114.34383,tianditu
坪山区,马峦街道,坪山人民法院门口,22.689106,114.345967,tianditu
坪山区,马峦街道,江岭社区龙坪路,22.670914,114.373336,tianditu
坪山区,马峦街道,锦龙大道（南方中集段）,22.68253,114.3251,tianditu
光明区,光明街道,华夏路与周家大道交汇处,22.766533,113.926952,tianditu
光明区,光明街道,东明大道与华裕路交汇处,22.763718,113.92993,tianditu
光明区,公明街道,别墅路口,22.608304,113.969917,tianditu
光明区,公明街道,莲塘龙大高速桥底,22.802241,113.902015,tianditu
光明区,凤凰街道,凤凰社区龙大高速桥底,22.75112,113.922725,tianditu
光明区,凤凰街道,塘尾社区塘前路,22.755198,113.900766,tianditu
光明区,玉塘街道,田寮市场,22.59486,113.9874,tianditu
光明区,玉塘街道,长圳村长凤路,22.714687,113.929622,tianditu
光明区,玉塘街道,根玉路与新玉路交界处,22.760843,113.873198,tianditu
光明区,新湖街道,圳美路口,22.78204,113.87882,tianditu
光明区,新湖街道,新陂头村,22.804371,113.94228,tianditu
大鹏新区,南澳街道,水头沙村,22.548409,114.478833,tianditu
大鹏新区,南澳街道,上企沙,22.546186,114.487309,tianditu
大鹏新区,南澳街道,新东路路段,22.554543,114.525153,tianditu
