czbm,district_id,method,reference_distance_km,coordinate_check,lat,lon
MS1104403030000319,luohu,station-code-district-segment,,inside_encoded_district,22.542227,114.102228
MS1104403030000323,luohu,station-code-district-segment,,inside_encoded_district,22.551568716163253,114.1183832504732
MS1104403030000338,luohu,station-code-district-segment,,inside_encoded_district,22.563633808974675,114.13329390192719
MS1104403030000342,luohu,station-code-district-segment,,inside_encoded_district,22.544653,114.131394
MS1104403040000543,futian,station-code-district-segment,,inside_encoded_district,22.559401296538805,114.04793087126708
MS1104403040000558,futian,station-code-district-segment,,inside_encoded_district,22.52878,114.04754
MS1104403040000562,futian,station-code-district-segment,,inside_encoded_district,22.550171284097686,114.05891535550717
MS1104403040000577,futian,station-code-district-segment,,inside_encoded_district,22.552167188223326,114.06774281249497
MS1104403040000581,futian,station-code-district-segment,,conflicts_with_derived_polygon,22.55966775704351,113.99344633894496
MS1104403040000596,futian,station-code-district-segment,,inside_encoded_district,22.55158384619422,114.00624803762132
MS1104403040000600,futian,station-code-district-segment,,inside_encoded_district,22.55158384619422,114.00624803762132
MS1104403040000615,futian,station-code-district-segment,,inside_encoded_district,22.545691,114.05466
MS110440304000062X,futian,station-code-district-segment,,inside_encoded_district,22.53903429826115,114.04781278730138
MS1104403040000634,futian,station-code-district-segment,,conflicts_with_derived_polygon,22.577257,114.104386
MS1104403040000649,futian,station-code-district-segment,,conflicts_with_derived_polygon,22.5420797706313,113.9753640727562
MS1104403050000118,nanshan,station-code-district-segment,,inside_encoded_district,22.511993391395155,113.8903078293519
MS1104403050000122,nanshan,station-code-district-segment,,inside_encoded_district,22.540721694789013,113.9181638130031
MS1104403050000137,nanshan,station-code-district-segment,,inside_encoded_district,22.540721694789013,113.9181638130031
MS1104403050000141,nanshan,station-code-district-segment,,inside_encoded_district,22.535707366852186,113.92452459612443
MS1104403050000156,nanshan,station-code-district-segment,,conflicts_with_derived_polygon,22.579823080041088,114.10123773351275
MS1104403050000160,nanshan,station-code-district-segment,,inside_encoded_district,22.535395972003414,113.91852837514443
MS1104403050000175,nanshan,station-code-district-segment,,inside_encoded_district,22.51179221810604,113.92884393579894
MS110440305000018X,nanshan,station-code-district-segment,,inside_encoded_district,22.51179221810604,113.92884393579894
MS1104403050000194,nanshan,station-code-district-segment,,inside_encoded_district,22.5420797706313,113.9753640727562
MS1104403050000209,nanshan,station-code-district-segment,,inside_encoded_district,22.50626,113.9446
MS1104403050000213,nanshan,station-code-district-segment,,inside_encoded_district,22.518201,113.884684
MS1104403050000228,nanshan,station-code-district-segment,,inside_encoded_district,22.535881,113.940064
MS1104403050000232,nanshan,station-code-district-segment,,inside_encoded_district,22.52643977555155,113.91686609460196
MS1104403050000247,nanshan,station-code-district-segment,,inside_encoded_district,22.599227,113.984574
MS110440306000029X,baoan,station-code-district-segment,,inside_encoded_district,22.741359,113.802812
MS1104403060000304,baoan,station-code-district-segment,,inside_encoded_district,22.78637,113.85335
MS1104403060000319,baoan,station-code-district-segment,,inside_encoded_district,22.57118007860348,113.90008995469552
MS1104403060000323,baoan,station-code-district-segment,,inside_encoded_district,22.578833,113.904988
MS1104403060000338,baoan,station-code-district-segment,,inside_encoded_district,22.7753,113.84376
MS1104403060000342,baoan,station-code-district-segment,,inside_encoded_district,22.558727,113.899699
MS1104403060000357,baoan,station-code-district-segment,,inside_encoded_district,22.597482662679273,113.87435005513986
MS1104403060000361,baoan,station-code-district-segment,,conflicts_with_derived_polygon,22.563589,114.098682
MS1104403060000376,baoan,station-code-district-segment,,inside_encoded_district,22.56349644,113.89998969999999
MS1104403060000380,baoan,station-code-district-segment,,outside_available_boundaries,22.79634568700108,114.39897783430258
MS1104403060000395,baoan,station-code-district-segment,,inside_encoded_district,22.805936,113.838415
MS110440306000040X,baoan,station-code-district-segment,,inside_encoded_district,22.77724,113.83513
MS1104403060000414,baoan,station-code-district-segment,,inside_encoded_district,22.75496986065163,113.7975587837876
MS1104403060000429,baoan,station-code-district-segment,,inside_encoded_district,22.77931941488889,113.82386091368804
MS1104403060000433,baoan,station-code-district-segment,,inside_encoded_district,22.731531574999998,113.800096525
MS1104403060000448,baoan,station-code-district-segment,,inside_encoded_district,22.658437552805964,113.96411546099013
MS1104403060000452,baoan,station-code-district-segment,,inside_encoded_district,22.58668431255461,113.84584894450396
MS1104403060000467,baoan,station-code-district-segment,,inside_encoded_district,22.56169,113.90085
MS1104403060000471,baoan,station-code-district-segment,,conflicts_with_derived_polygon,22.72132,114.05284
MS1104403060000486,baoan,station-code-district-segment,,inside_encoded_district,22.603015,113.844135
MS1104403060000490,baoan,station-code-district-segment,,inside_encoded_district,22.57724,113.85179
MS1104403060000505,baoan,station-code-district-segment,,inside_encoded_district,22.549962987088094,113.87889692546018
MS1104403070000175,longgang,station-code-district-segment,,inside_encoded_district,22.731009781031894,114.22605984524496
MS110440307000018X,longgang,station-code-district-segment,,inside_encoded_district,22.697841456213258,114.19931100734046
MS1104403070000194,longgang,station-code-district-segment,,inside_encoded_district,22.708452173199664,114.22855732448205
MS1104403070000209,longgang,station-code-district-segment,,inside_encoded_district,22.734070392016967,114.26268655089929
MS1104403070000213,longgang,station-code-district-segment,,inside_encoded_district,22.75103177856142,114.25588661241065
MS1104403070000228,longgang,station-code-district-segment,,inside_encoded_district,22.709133830928806,114.31382413715897
MS1104403070000232,longgang,station-code-district-segment,,inside_encoded_district,22.714932425,114.3001758
MS1104403070000247,longgang,station-code-district-segment,,inside_encoded_district,22.785453209312927,114.3238491191703
MS1104403070000251,longgang,station-code-district-segment,,inside_encoded_district,22.725427,114.267299
MS1104403070000266,longgang,station-code-district-segment,,inside_encoded_district,22.63039,114.05677
MS1104403070000270,longgang,station-code-district-segment,,inside_encoded_district,22.610528,114.109316
MS1104403070000285,longgang,station-code-district-segment,,inside_encoded_district,22.724234,114.286811
MS110440307000029X,longgang,station-code-district-segment,,inside_encoded_district,22.642158,114.066256
MS1104403070000304,longgang,station-code-district-segment,,conflicts_with_derived_polygon,22.76973,113.87325
MS1104403070000319,longgang,station-code-district-segment,,inside_encoded_district,22.6384,114.16689
MS1104403070000323,longgang,station-code-district-segment,,inside_encoded_district,22.602818284523806,114.12130894517196
MS1104403070000338,longgang,station-code-district-segment,,inside_encoded_district,22.635311170786817,114.12784150313183
MS1104403070000342,longgang,station-code-district-segment,,inside_encoded_district,22.60511,114.11506
MS1104403080000012,yantian,station-code-district-segment,,inside_encoded_district,22.553642038690473,114.22939035281746
MS1104403080000027,yantian,station-code-district-segment,,inside_encoded_district,22.552473,114.222972
MS1104403080000031,yantian,station-code-district-segment,,inside_encoded_district,22.54853,114.22796
MS1104403090000065,longhua,station-code-district-segment,,inside_encoded_district,22.753687171367037,114.03385655648283
MS110440309000007X,longhua,station-code-district-segment,,inside_encoded_district,22.7323,114.04215
MS1104403090000084,longhua,station-code-district-segment,,inside_encoded_district,22.733179257314486,114.01274963079653
MS1104403090000099,longhua,station-code-district-segment,,inside_encoded_district,22.672051,114.005717
MS1104403090000103,longhua,station-code-district-segment,,inside_encoded_district,22.646750702555874,114.02665721385576
MS1104403090000118,longhua,station-code-district-segment,,inside_encoded_district,22.624351465560785,114.01682556681699
MS1104403090000122,longhua,station-code-district-segment,,inside_encoded_district,22.65104,114.0232
MS1104403090000137,longhua,station-code-district-segment,,conflicts_with_derived_polygon,22.559721,114.111073
MS1104403090000141,longhua,station-code-district-segment,,inside_encoded_district,22.692058934615382,113.9964102346154
MS1104403100000028,pingshan,station-code-district-segment,,inside_encoded_district,22.70625,114.36288
MS1104403100000032,pingshan,station-code-district-segment,,inside_encoded_district,22.767995359829058,114.39900074224022
MS1104403100000047,pingshan,station-code-district-segment,,inside_encoded_district,22.685306,114.34945
MS1104403100000051,pingshan,station-code-district-segment,,inside_encoded_district,22.691578,114.348264
MS1104403100000066,pingshan,station-code-district-segment,,conflicts_with_derived_polygon,22.5733,114.07965
MS1104403110000597,guangming,station-code-district-segment,,inside_encoded_district,22.747509018088216,113.91221411091422
MS1104403110000601,guangming,station-code-district-segment,,conflicts_with_derived_polygon,22.53711,113.98048
MS1104403110000616,guangming,station-code-district-segment,,inside_encoded_district,22.734039598507852,113.91441943299901
MS1104403110000620,guangming,station-code-district-segment,,inside_encoded_district,22.731110627923336,113.894856941127
MS1104403110000635,guangming,station-code-district-segment,,outside_available_boundaries,22.826648407959507,113.95688701032125
MS110440311000064X,guangming,station-code-district-segment,,inside_encoded_district,22.77092,113.901398
MS1104403120000032,dapeng,station-code-district-segment,,conflicts_with_derived_polygon,22.743004,114.361787
